Player,Game Date,Team,S/C,GP,GS,CG,IG,CG%,GS > .900,GS > .900 %,GF,GA,GFA,GAA,ROW,ROL,SA/60,Sv%,TOI
Linus Ullmark,2022-11-07,BOS,L,1,1,1,0,100,1,100,3,1,3,1,1,0,27,0.963,60:00
Linus Ullmark,2022-11-10,BOS,L,1,1,1,0,100,1,100,3,1,3.03,1.01,1,0,32.3,0.969,59:24
Keith Kinkaid,2022-11-12,BOS,L,1,1,1,0,100,1,100,3,1,3.01,1,1,0,31.1,0.968,59:54
Linus Ullmark,2022-11-13,BOS,L,1,1,1,0,100,1,100,5,2,5,2,1,0,31,0.935,60:00
Linus Ullmark,2022-11-17,BOS,L,1,1,1,0,100,1,100,4,1,4.02,1.01,1,0,23.1,0.957,59:40
Jeremy Swayman,2022-11-19,BOS,L,1,1,1,0,100,1,100,6,1,6,1,1,0,18,0.944,60:00
Linus Ullmark,2022-11-21,BOS,L,1,1,1,0,100,1,100,5,3,5,3,1,0,35,0.914,60:00
Jeremy Swayman,2022-11-23,BOS,L,1,1,1,0,100,0,0,2,4,2.04,4.09,0,1,30.6,0.867,58:45
Linus Ullmark,2022-11-25,BOS,L,1,1,0,1,0,1,100,1,2,1.28,2.56,0,0,38.3,0.933,46:57
Jeremy Swayman,2022-11-25,BOS,L,1,0,0,0,--,0,--,2,0,7.48,0,1,0,22.4,1,16:03
Jeremy Swayman,2022-11-29,BOS,L,1,1,1,0,100,1,100,3,1,3,1,1,0,28,0.964,60:00
Linus Ullmark,2022-12-03,BOS,L,1,1,1,0,100,1,100,5,1,5.01,1,1,0,25,0.96,59:55
Jeremy Swayman,2022-12-05,BOS,L,1,1,1,0,100,0,0,3,3,2.79,2.79,0,0,22.4,0.875,64:25
Linus Ullmark,2022-12-07,BOS,L,1,1,1,0,100,1,100,4,0,4.02,0,1,0,23.1,1,59:41
Jeremy Swayman,2022-12-09,BOS,L,1,1,1,0,100,0,0,3,4,3.03,4.05,0,1,16.2,0.75,59:19
Linus Ullmark,2022-12-11,BOS,L,1,1,1,0,100,1,100,3,1,3,1,1,0,31,0.968,60:00
Linus Ullmark,2022-12-13,BOS,L,1,1,1,0,100,0,0,3,3,2.78,2.78,0,0,24.1,0.885,64:45
Linus Ullmark,2022-12-15,BOS,L,1,1,1,0,100,1,100,1,2,0.93,1.85,0,0,27.8,0.933,64:43
Jeremy Swayman,2022-12-17,BOS,L,1,1,1,0,100,1,100,3,2,3.04,2.03,1,0,33.5,0.939,59:11
Linus Ullmark,2022-12-19,BOS,L,1,1,1,0,100,1,100,7,3,7.02,3.01,1,0,39.1,0.923,59:49
Jeremy Swayman,2022-12-22,BOS,L,1,1,1,0,100,1,100,3,2,3.02,2.01,1,0,27.2,0.926,59:39
Linus Ullmark,2022-12-23,BOS,L,1,1,1,0,100,1,100,4,3,4,3,1,0,40,0.925,60:00
Jeremy Swayman,2022-12-27,BOS,L,1,1,1,0,100,1,100,2,2,1.85,1.85,0,0,29.6,0.938,64:46
Linus Ullmark,2022-12-28,BOS,L,1,1,1,0,100,1,100,3,1,3.01,1,1,0,31.1,0.968,59:49
Jeremy Swayman,2022-12-31,BOS,L,1,1,1,0,100,0,0,3,4,2.82,3.76,0,1,23.5,0.84,63:51
Linus Ullmark,2023-01-02,BOS,L,1,1,1,0,100,1,100,2,1,2.01,1.01,1,0,27.1,0.963,59:42
Jeremy Swayman,2023-01-05,BOS,L,1,1,1,0,100,1,100,5,2,5.01,2,1,0,29,0.931,59:56
Linus Ullmark,2023-01-07,BOS,L,1,1,1,0,100,1,100,4,2,4.02,2.01,1,0,30.2,0.933,59:38
Jeremy Swayman,2023-01-08,BOS,L,1,1,1,0,100,1,100,7,1,7,1,1,0,29,0.966,60:00
Linus Ullmark,2023-01-12,BOS,L,1,1,1,0,100,1,100,0,2,0,2.11,0,1,31.6,0.933,56:55
Linus Ullmark,2023-01-14,BOS,L,1,1,1,0,100,0,0,4,3,4,3,1,0,21,0.857,60:00
Jeremy Swayman,2023-01-16,BOS,L,1,1,1,0,100,1,100,6,0,6,0,1,0,29,1,60:00
Linus Ullmark,2023-01-18,BOS,L,1,1,1,0,100,1,100,4,1,4.01,1,1,0,26,0.962,59:55
Jeremy Swayman,2023-01-19,BOS,L,1,1,1,0,100,1,100,3,1,3.01,1,1,0,32.1,0.969,59:54
Linus Ullmark,2023-01-22,BOS,L,1,1,0,1,0,1,100,4,0,4.18,0,1,0,17.8,1,57:25
Jeremy Swayman,2023-01-22,BOS,L,1,0,0,0,--,0,--,0,0,0,0,0,0,24.3,1,2:28
Jeremy Swayman,2023-01-24,BOS,L,1,1,1,0,100,1,100,4,2,4,2,1,0,22,0.909,60:00
Linus Ullmark,2023-01-26,BOS,L,1,1,1,0,100,1,100,2,3,2.07,3.1,0,1,36.2,0.914,58:00
Jeremy Swayman,2023-01-28,BOS,L,1,1,1,0,100,0,0,3,4,2.99,3.98,0,1,36.8,0.892,60:17
Linus Ullmark,2023-01-29,BOS,L,1,1,1,0,100,1,100,1,3,1.01,3.03,0,1,35.3,0.914,59:25
