Season,Name,GAA Better Than Expected,High Danger Unblocked Shot Attempt Save % Above Expected,Wins Above Replacement,xGAA
2016-17,Carey Price,0.29,0.095,3.01,2.52
2016-17,Unknown,-0.11,-0.069,-0.99,2.65
2016-17,Antti Raanta,0.31,0.083,1.41,2.58
2016-17,Mike Condon,0.05,0.072,0.32,2.53
2016-17,Kari Lehtonen,0.20,0.067,1.80,3.06
2016-17,Brian Elliott,0.04,0.052,0.34,2.61
2016-17,Cam Talbot,0.41,0.040,4.83,2.81
2016-17,Sergei Bobrovsky,0.53,0.039,5.51,2.59
2016-17,Chad Johnson,0.23,0.038,1.28,2.82
2016-17,Connor Hellebuyck,-0.15,0.037,-1.28,2.71
2016-17,Marc-Andre Fleury,0.01,0.037,0.07,3.03
2016-17,Mike Smith,0.37,0.035,3.20,3.32
2016-17,Roberto Luongo,0.09,0.031,0.59,2.78
2016-17,Frederik Andersen,0.37,0.029,3.87,3.04
2016-17,Braden Holtby,0.59,0.026,5.89,2.67
2016-17,Corey Crawford,0.16,0.022,1.47,2.71
2016-17,Martin Jones,0.15,0.018,1.51,2.55
2016-17,Devan Dubnyk,-0.00,0.015,-0.01,2.25
2016-17,Matt Murray,0.36,0.014,2.79,2.77
2016-17,Tuukka Rask,-0.01,0.010,-0.06,2.24
2016-17,John Gibson,0.29,0.010,2.36,2.50
2016-17,Antti Niemi,-0.26,0.008,-1.23,3.04
2016-17,Peter Budaj,0.19,0.003,1.73,2.36
2016-17,Thomas Greiss,0.13,-0.005,1.01,2.82
2016-17,Ben Bishop,-0.01,-0.005,-0.04,2.53
2016-17,Carter Hutton,0.05,-0.006,0.19,2.43
2016-17,James Reimer,0.13,-0.006,0.81,2.68
2016-17,Cam Ward,-0.21,-0.007,-2.15,2.47
2016-17,Calvin Pickard,-0.39,-0.012,-3.02,2.61
2016-17,Scott Darling,0.28,-0.014,1.32,2.66
2016-17,Louis Domingue,-0.10,-0.023,-0.45,2.98
2016-17,Craig Anderson,0.26,-0.029,1.77,2.54
2016-17,Pekka Rinne,0.03,-0.033,0.27,2.46
2016-17,Ryan Miller,-0.06,-0.037,-0.51,2.74
2016-17,Andrei Vasilevskiy,0.02,-0.041,0.18,2.63
2016-17,Jake Allen,-0.13,-0.045,-1.22,2.29
2016-17,Jonathan Bernier,-0.03,-0.049,-0.18,2.47
2016-17,Cory Schneider,-0.06,-0.050,-0.59,2.76
2016-17,Robin Lehner,0.01,-0.058,0.08,2.69
2016-17,Petr Mrazek,-0.37,-0.061,-2.96,2.67
2016-17,Steve Mason,-0.00,-0.066,-0.02,2.66
2016-17,Henrik Lundqvist,-0.11,-0.069,-0.99,2.65
