Game Date,Opponent,Team,Opp.,Result
10/12/2022,Washington,5,2,Win
10/15/2022,Arizona,6,3,Win
10/17/2022,Florida,5,3,Win
10/18/2022,Ottawa,5,7,Loss
10/20/2022,Anaheim,2,1,Win
10/22/2022,Minnesota,4,3,Win
10/25/2022,Dallas,3,1,Win
10/27/2022,Detroit,5,1,Win
10/28/2022,Columbus,4,0,Win
11/01/2022,Pittsburgh,6,5,Win
11/03/2022,New York Rangers,5,2,Win
11/05/2022,Toronto,1,2,Loss
11/07/2022,St. Louis,3,1,Win
11/10/2022,Calgary,3,1,Win
11/12/2022,Buffalo,3,1,Win
11/13/2022,Vancouver,5,2,Win
11/17/2022,Philadelphia,4,1,Win
11/19/2022,Chicago,6,1,Win
11/21/2022,Tampa Bay,5,3,Win
11/23/2022,Florida,2,5,Loss
11/25/2022,Carolina,3,2,Win
11/29/2022,Tampa Bay,3,1,Win
12/03/2022,Colorado,5,1,Win
12/05/2022,Vegas,3,4,SOL
12/07/2022,Colorado,4,0,Win
12/09/2022,Arizona,3,4,Loss
12/11/2022,Vegas,3,1,Win
12/13/2022,New York Islanders,4,3,Win
12/15/2022,Los Angeles,2,3,SOL
12/17/2022,Columbus,4,2,Win
12/19/2022,Florida,7,3,Win
12/22/2022,Winnipeg,3,2,Win
12/23/2022,New Jersey,4,3,Win
12/27/2022,Ottawa,2,3,SOL
12/28/2022,New Jersey,3,1,Win
12/31/2022,Buffalo,3,4,OTL
01/02/2023,Pittsburgh,2,1,Win
01/05/2023,Los Angeles,5,2,Win
01/07/2023,San Jose,4,2,Win
01/08/2023,Anaheim,7,1,Win
01/12/2023,Seattle,0,3,Loss
01/14/2023,Toronto,4,3,Win
01/16/2023,Philadelphia,6,0,Win
01/18/2023,New York Islanders,4,1,Win
01/19/2023,New York Rangers,3,1,Win
01/22/2023,San Jose,4,0,Win
01/24/2023,Montreal,4,2,Win
01/26/2023,Tampa Bay,2,3,Loss
01/28/2023,Florida,3,4,OTL
01/29/2023,Carolina,1,4,Loss
02/01/2023,Toronto,5,2,Win
02/11/2023,Washington,1,2,Loss
02/14/2023,Dallas,3,2,Win
02/16/2023,Nashville,5,0,Win
02/18/2023,New York Islanders,6,2,Win
02/20/2023,Ottawa,3,1,Win
02/23/2023,Seattle,6,5,Win
02/25/2023,Vancouver,3,1,Win
02/27/2023,Edmonton,3,2,Win
02/28/2023,Calgary,4,3,Win
03/02/2023,Buffalo,7,1,Win
03/04/2023,New York Rangers,4,2,Win
03/09/2023,Edmonton,2,3,Loss
03/11/2023,Detroit,3,2,Win
03/12/2023,Detroit,3,5,Loss
03/14/2023,Chicago,3,6,Loss
03/16/2023,Winnipeg,3,0,Win
03/18/2023,Minnesota,5,2,Win
03/19/2023,Buffalo,7,0,Win
03/21/2023,Ottawa,2,1,Win
03/23/2023,Montreal,4,2,Win
03/25/2023,Tampa Bay,2,1,Win
03/26/2023,Carolina,4,3,Win
03/28/2023,Nashville,1,2,Loss
03/30/2023,Columbus,2,1,Win
04/01/2023,Pittsburgh,4,3,Win
04/02/2023,St. Louis,4,3,Win
04/06/2023,Toronto,2,1,Win
04/08/2023,New Jersey,2,1,Win
04/09/2023,Philadelphia,5,3,Win
04/11/2023,Washington,5,2,Win
04/13/2023,Montreal,5,4,Win
